,0
0,8
1,4
2,6
3,4
4,5
5,5
6,2
7,4
8,5
9,7
10,6
11,5
12,10
13,8
14,9
15,8
16,2
17,5
18,2
19,2
20,5
21,7
22,4
23,8
24,5
25,9
