,0
0,23
1,38
2,35
3,15
4,17
5,15
6,16
7,37
8,45
9,13
10,25
11,22
12,32
13,9
14,13
15,9
16,6
17,8
18,11
19,7
20,3
21,5
22,14
23,11
24,3
25,17
26,11
27,6
28,13
29,4
30,9
31,3
32,7
33,10
34,7
35,2
36,2
37,5
38,14
39,15
40,16
41,17
42,13
43,5
44,13
45,7
46,7
47,12
48,15
